y,x,int,slope
SANS_composite,PANSS_negative,-0.369843502,0.721023505
PANSS_negative,SANS_composite,1.016057907,0.962450746
SANS_summary,PANSS_negative,-0.362773491,0.883449346
PANSS_negative,SANS_summary,0.952964223,0.752778589
SANS_composite,SANS_summary,0.01146221,0.733970555
SANS_summary,SANS_composite,0.200493054,1.188361392
SAPS_composite,PANSS_positive,-0.543240007,0.528295477
PANSS_positive,SAPS_composite,1.499385173,1.079409485
SAPS_summary,PANSS_positive,-0.63677632,0.918013477
PANSS_positive,SAPS_summary,1.325321119,0.631389841
SAPS_composite,SAPS_summary,-0.01077993,0.451637294
SAPS_summary,SAPS_composite,0.4851844,1.463384266
SAPS_delusions,PANSS_delusions,-0.848858652,1.292958128
PANSS_delusions,SAPS_delusions,1.26529786,0.493894076
SAPS_disorganization,PANSS_disorganization,-0.245141343,0.480565371
PANSS_disorganization,SAPS_disorganization,1.233988168,0.978631527
SAPS_hallucinations,PANSS_hallucinations,-0.772549618,0.941282443
PANSS_hallucinations,SAPS_hallucinations,1.235028712,0.858955428
SANS_amotivation,PANSS_amotivation,-0.540919249,0.90656395
PANSS_amotivation,SANS_amotivation,0.976965014,0.751951735
SANS_expressivity,PANSS_expressivity,0.430298382,0.677408643
PANSS_expressivity,SANS_expressivity,0.698493591,0.843377101
SANS_cognition,PANSS_cognition,0.491732554,0.329170234
PANSS_cognition,SANS_cognition,2.454529212,0.43621583
